N,Uniform,A,B,Balanced MIS,Power MIS
1,1.012,0.882,0.125,0.073,0.210
2,0.308,0.467,0.379,0.008,0.066
3,0.033,0.251,0.127,0.086,0.031
4,0.292,0.265,0.231,0.045,0.025
5,0.229,0.016,0.149,0.015,0.013
6,0.038,0.158,0.056,0.006,0.027
7,0.143,0.030,0.078,0.017,0.001
8,0.040,0.109,0.009,0.002,0.016
9,0.083,0.009,0.045,0.010,0.005
10,0.059,0.028,0.015,0.003,0.005
11,0.009,0.015,0.021,0.000,0.005
12,0.011,0.005,0.007,0.004,0.003
13,0.023,0.001,0.010,0.001,0.003
14,0.005,0.000,0.005,0.001,0.000
15,0.011,0.011,0.001,0.000,0.000
