N,Uniform,A,B,Balanced MIS,Power MIS
1,0.406,0.053,0.290,0.185,0.082
2,0.579,0.071,0.319,0.074,0.109
3,0.240,0.193,0.245,0.035,0.084
4,0.139,0.303,0.080,0.016,0.001
5,0.051,0.386,0.238,0.028,0.038
6,0.032,0.330,0.014,0.006,0.024
7,0.086,0.133,0.042,0.011,0.001
8,0.007,0.022,0.011,0.004,0.003
9,0.010,0.054,0.105,0.006,0.005
10,0.007,0.003,0.042,0.004,0.010
11,0.048,0.006,0.048,0.001,0.006
12,0.022,0.018,0.010,0.003,0.005
13,0.016,0.004,0.010,0.001,0.002
14,0.010,0.005,0.009,0.002,0.000
15,0.006,0.002,0.002,0.001,0.001
